key|hi|kn|ta|te|ml|mr|bn|gu|pa|ur|as|or
confirm|पुष्टि करें|ಖಚಿತಪಡಿಸಿ|உறுதிப்படுத்து|నిర్ధారించు|സ്ഥിരീകരിക്കുക|खात्री करा|নিশ্চিত করুন|પુષ્ટિ કરો|ਪੁਸ਼ਟੀ ਕਰੋ|تصدیق کریں|নিশ্চিত কৰক|ନିଶ୍ଚିତ କରନ୍ତୁ
retry|पुनः प्रयास|ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ|மீண்டும் முயல்|మళ్లీ ప్రయత్నించు|വീണ്ടും ശ്രമിക്കുക|पुन्हा प्रयत्न|আবার চেষ্টা|ફરી પ્રયાસ|ਮੁੜ ਕੋਸ਼ਿਸ਼|دوبارہ کوشش|পুনৰ চেষ্টা|ପୁନଃ ଚେଷ୍ଟା
close|बंद करें|ಮುಚ್ಚಿ|மூடு|మూసివేయి|അടയ്ക്കുക|बंद करा|বন্ধ করুন|બંધ કરો|ਬੰਦ ਕਰੋ|بند کریں|বন্ধ কৰক|ବନ୍ଦ କରନ୍ତୁ
clear|फ़िल्टर हटाएँ|ಫಿಲ್ಟರ್ ತೆರವುಗೊಳಿಸಿ|வடிகட்டிகளை நீக்கு|వడపోత తొలగించు|ഫിൽറ്ററുകൾ നീക്കുക|फिल्टर काढा|ফিল্টার মুছুন|ફિલ્ટર દૂર કરો|ਫਿਲਟਰ ਹਟਾਓ|فلٹر صاف کریں|ফিল্টাৰ আঁতৰাওক|ଫିଲ୍ଟର ହଟାନ୍ତୁ
reason|कारण (वैकल्पिक)|ಕಾರಣ (ಐಚ್ಛಿಕ)|காரணம் (விருப்பம்)|కారణం (ఐచ్ఛికం)|കാരണം (ഐച്ഛികം)|कारण (ऐच्छिक)|কারণ (ঐচ্ছিক)|કારણ (વૈકલ્પિક)|ਕਾਰਨ (ਵਿਕਲਪਿਕ)|وجہ (اختیاری)|কাৰণ (ঐচ্ছিক)|କାରଣ (ଇଚ୍ଛାଧୀନ)
coverage|एम्बुलेंस और जल बचाव दल चुनें।|ಆಂಬುಲೆನ್ಸ್ ಮತ್ತು ಜಲ ರಕ್ಷಣಾ ತಂಡ ಆಯ್ಕೆಮಾಡಿ.|ஆம்புலன்ஸ் மற்றும் நீர் மீட்புக் குழுவைத் தேர்ந்தெடுக்கவும்.|అంబులెన్స్ మరియు నీటి రక్షణ బృందాన్ని ఎంచుకోండి.|ആംബുലൻസും ജല രക്ഷാസംഘവും തിരഞ്ഞെടുക്കുക.|रुग्णवाहिका व जल बचाव पथक निवडा.|অ্যাম্বুল্যান্স ও জল উদ্ধার দল বাছুন।|એમ્બ્યુલન્સ અને જળ બચાવ ટીમ પસંદ કરો.|ਐਂਬੂਲੈਂਸ ਅਤੇ ਪਾਣੀ ਬਚਾਅ ਟੀਮ ਚੁਣੋ।|ایمبولینس اور آبی بچاؤ ٹیم منتخب کریں۔|এম্বুলেন্স আৰু জল উদ্ধাৰ দল বাছক।|ଆମ୍ବୁଲାନ୍ସ ଓ ଜଳ ଉଦ୍ଧାର ଦଳ ବାଛନ୍ତୁ।
rejectHelp|नई रवानगी नहीं होगी। मौजूदा कार्य जारी रहेंगे।|ಹೊಸ ರವಾನೆ ಆಗುವುದಿಲ್ಲ. ಈಗಿನ ಕೆಲಸಗಳು ಮುಂದುವರಿಯುತ್ತವೆ.|புதிய அனுப்புதல் இல்லை. தற்போதைய பணிகள் தொடரும்.|కొత్త పంపిణీ ఉండదు. ప్రస్తుత పనులు కొనసాగుతాయి.|പുതിയ നിയോഗമില്ല. നിലവിലെ ജോലികൾ തുടരും.|नवी रवानगी होणार नाही. चालू कामे सुरू राहतील.|নতুন দল পাঠানো হবে না। চলমান কাজ চলবে।|નવી રવાનગી નહીં થાય. હાલનાં કામ ચાલુ રહેશે.|ਨਵੀਂ ਰਵਾਨਗੀ ਨਹੀਂ ਹੋਵੇਗੀ। ਚੱਲਦੇ ਕੰਮ ਜਾਰੀ ਰਹਿਣਗੇ।|نئی روانگی نہیں ہوگی۔ موجودہ کام جاری رہیں گے۔|নতুন দল প্ৰেৰণ নহয়। চলিত কাম চলি থাকিব।|ନୂତନ ଦଳ ପଠାଯିବ ନାହିଁ। ଚାଲୁ କାମ ଜାରି ରହିବ।
timeline|परिचालन समयरेखा|ಕಾರ್ಯಾಚರಣೆ ಕಾಲರೇಖೆ|செயல்பாட்டுக் காலவரிசை|కార్యాచరణ కాలక్రమం|പ്രവർത്തന സമയരേഖ|कार्यवाही कालरेषा|কার্যক্রমের সময়রেখা|કાર્યકારી સમયરેખા|ਕਾਰਵਾਈ ਸਮਾਂਰੇਖਾ|عملی زمانی ترتیب|কাৰ্যকলাপৰ সময়ৰেখা|କାର୍ଯ୍ୟକଳାପ ସମୟରେଖା
source|स्रोत|ಮೂಲ|மூலம்|మూలం|ഉറവിടം|स्रोत|উৎস|સ્રોત|ਸਰੋਤ|ذریعہ|উৎস|ଉତ୍ସ
latest|नवीनतम पहले|ಹೊಸದು ಮೊದಲು|புதியது முதலில்|కొత్తవి ముందు|പുതിയത് ആദ്യം|नवीन प्रथम|সাম্প্রতিক আগে|નવું પ્રથમ|ਨਵਾਂ ਪਹਿਲਾਂ|تازہ ترین پہلے|নতুন প্ৰথমে|ନୂତନ ପ୍ରଥମେ
intake|रिपोर्ट प्राप्ति|ವರದಿ ಸ್ವೀಕೃತಿ|அறிக்கை பெறுதல்|నివేదిక స్వీకరణ|റിപ്പോർട്ട് സ്വീകരണം|अहवाल प्राप्ती|প্রতিবেদন গ্রহণ|અહેવાલ સ્વીકાર|ਰਿਪੋਰਟ ਪ੍ਰਾਪਤੀ|رپورٹ وصولی|প্ৰতিবেদন গ্ৰহণ|ରିପୋର୍ଟ ଗ୍ରହଣ
coordinator|समन्वयक|ಸಂಯೋಜಕ|ஒருங்கிணைப்பாளர்|సమన్వయకర్త|ഏകോപകൻ|समन्वयक|সমন্বয়কারী|સંયોજક|ਕੋਆਰਡੀਨੇਟਰ|رابطہ کار|সমন্বয়ক|ସମନ୍ୱୟକାରୀ
automation|स्वचालन|ಸ್ವಯಂಚಾಲನೆ|தானியக்கம்|స్వయంచాలక వ్యవస్థ|ഓട്ടോമേഷൻ|स्वयंचलन|স্বয়ংক্রিয়তা|સ્વચાલન|ਸਵੈਚਾਲਨ|خودکاری|স্বয়ংক্ৰিয়তা|ସ୍ୱୟଂଚାଳନ
demo|डेमो नियंत्रण|ಡೆಮೊ ನಿಯಂತ್ರಣ|செயல்விளக்கக் கட்டுப்பாடு|డెమో నియంత్రణ|ഡെമോ നിയന്ത്രണം|डेमो नियंत्रण|ডেমো নিয়ন্ত্রণ|ડેમો નિયંત્રણ|ਡੈਮੋ ਕੰਟਰੋਲ|ڈیمو کنٹرول|ডেমো নিয়ন্ত্ৰণ|ଡେମୋ ନିୟନ୍ତ୍ରଣ
run|डेमो चलाएँ|ಡೆಮೊ ಚಲಾಯಿಸಿ|செயல்விளக்கத்தை இயக்கு|డెమో ప్రారంభించు|ഡെമോ പ്രവർത്തിപ്പിക്കുക|डेमो चालवा|ডেমো চালান|ડેમો ચલાવો|ਡੈਮੋ ਚਲਾਓ|ڈیمو چلائیں|ডেমো চলাওক|ଡେମୋ ଚଲାନ୍ତୁ
pause|डेमो रोकें|ಡೆಮೊ ವಿರಾಮ|செயல்விளக்கத்தை இடைநிறுத்து|డెమో ఆపు|ഡെമോ നിർത്തുക|डेमो थांबवा|ডেমো থামান|ડેમો રોકો|ਡੈਮੋ ਰੋਕੋ|ڈیمو روکیں|ডেমো ৰখাওক|ଡେମୋ ରୋକନ୍ତୁ
reset|डेमो रीसेट|ಡೆಮೊ ಮರುಹೊಂದಿಸಿ|செயல்விளக்கத்தை மீட்டமை|డెమో రీసెట్|ഡെമോ പുനഃക്രമീകരിക്കുക|डेमो रीसेट|ডেমো রিসেট|ડેમો રીસેટ|ਡੈਮੋ ਰੀਸੈੱਟ|ڈیمو ری سیٹ|ডেমো ৰিছেট|ଡେମୋ ରିସେଟ୍
running|डेमो जारी|ಡೆಮೊ ನಡೆಯುತ್ತಿದೆ|செயல்விளக்கம் இயங்குகிறது|డెమో నడుస్తోంది|ഡെമോ പ്രവർത്തിക്കുന്നു|डेमो सुरू|ডেমো চলছে|ડેમો ચાલુ|ਡੈਮੋ ਚੱਲ ਰਿਹਾ|ڈیمو جاری|ডেমো চলিছে|ଡେମୋ ଚାଲୁଛି
complete|डेमो पूरा|ಡೆಮೊ ಪೂರ್ಣ|செயல்விளக்கம் நிறைவு|డెమో పూర్తయింది|ഡെമോ പൂർത്തിയായി|डेमो पूर्ण|ডেমো সম্পূর্ণ|ડેમો પૂર્ણ|ਡੈਮੋ ਪੂਰਾ|ڈیمو مکمل|ডেমো সম্পূৰ্ণ|ଡେମୋ ସମ୍ପୂର୍ଣ୍ଣ
ready|डेमो तैयार|ಡೆಮೊ ಸಿದ್ಧ|செயல்விளக்கம் தயார்|డెమో సిద్ధం|ഡെമോ തയ്യാറാണ്|डेमो तयार|ডেমো প্রস্তুত|ડેમો તૈયાર|ਡੈਮੋ ਤਿਆਰ|ڈیمو تیار|ডেমো সাজু|ଡେମୋ ପ୍ରସ୍ତୁତ
next|अगला चरण|ಮುಂದಿನ ಹಂತ|அடுத்த படி|తదుపరి దశ|അടുത്ത ഘട്ടം|पुढील टप्पा|পরের ধাপ|આગલું પગલું|ਅਗਲਾ ਕਦਮ|اگلا مرحلہ|পৰৱৰ্তী ধাপ|ପରବର୍ତ୍ତୀ ପଦକ୍ଷେପ
scenario|स्थिति का अनुकरण|ಸ್ಥಿತಿ ಅನುಕರಣೆ|நிலை ஒத்திகை|స్థితి అనుకరణ|സ്ഥിതി അനുകരണം|स्थितीचे अनुकरण|অবস্থার অনুকরণ|સ્થિતિનું અનુકરણ|ਸਥਿਤੀ ਸਿਮੂਲੇਸ਼ਨ|حالت کی مشق|অৱস্থাৰ অনুকৰণ|ସ୍ଥିତି ଅନୁକରଣ
normal|सामान्य|ಸಾಮಾನ್ಯ|சாதாரண|సాధారణం|സാധാരണ|सामान्य|স্বাভাবিক|સામાન્ય|ਆਮ|معمول|স্বাভাৱিক|ସାଧାରଣ
failure|विफलता|ವಿಫಲತೆ|தோல்வி|వైఫల్యం|പരാജയം|अपयश|ব্যর্থতা|નિષ્ફળતા|ਅਸਫਲਤਾ|ناکامی|বিফলতা|ବିଫଳତା
offline|ऑफ़लाइन|ಆಫ್‌ಲೈನ್|இணைப்பில்லை|ఆఫ్‌లైన్|ഓഫ്‌ലൈൻ|ऑफलाइन|অফলাইন|ઑફલાઇન|ਆਫਲਾਈਨ|آف لائن|অফলাইন|ଅଫ୍‌ଲାଇନ୍
stale|पुराना डेटा|ಹಳೆಯ ದತ್ತಾಂಶ|பழைய தரவு|పాత డేటా|പഴയ വിവരങ്ങൾ|जुनी माहिती|পুরনো তথ্য|જૂની માહિતી|ਪੁਰਾਣਾ ਡਾਟਾ|پرانی معلومات|পুৰণি তথ্য|ପୁରୁଣା ତଥ୍ୟ
loading|लोड हो रहा है…|ಲೋಡ್ ಆಗುತ್ತಿದೆ…|ஏற்றுகிறது…|లోడ్ అవుతోంది…|ലോഡ് ചെയ്യുന്നു…|लोड होत आहे…|লোড হচ্ছে…|લોડ થઈ રહ્યું છે…|ਲੋਡ ਹੋ ਰਿਹਾ…|لوڈ ہو رہا ہے…|লোড হৈছে…|ଲୋଡ୍ ହେଉଛି…
none|कोई नहीं|ಯಾವುದೂ ಇಲ್ಲ|எதுவுமில்லை|ఏదీ లేదు|ഒന്നുമില്ല|काही नाही|কিছু নেই|કંઈ નથી|ਕੋਈ ਨਹੀਂ|کوئی نہیں|একো নাই|କିଛି ନାହିଁ
select|घटना चुनें|ಘಟನೆ ಆಯ್ಕೆಮಾಡಿ|சம்பவத்தைத் தேர்ந்தெடு|ఘటనను ఎంచుకోండి|സംഭവം തിരഞ്ഞെടുക്കുക|घटना निवडा|ঘটনা বাছুন|ઘટના પસંદ કરો|ਘਟਨਾ ਚੁਣੋ|واقعہ منتخب کریں|ঘটনা বাছক|ଘଟଣା ବାଛନ୍ତୁ
changed|योजना बदली है; पुनः देखें।|ಯೋಜನೆ ಬದಲಾಗಿದೆ; ಪರಿಶೀಲಿಸಿ.|திட்டம் மாறியது; மீண்டும் பார்க்கவும்.|ప్రణాళిక మారింది; సమీక్షించండి.|പദ്ധതി മാറി; പരിശോധിക്കുക.|योजना बदलली; पुन्हा तपासा.|পরিকল্পনা বদলেছে; দেখুন।|યોજના બદલાઈ; ફરી જુઓ.|ਯੋਜਨਾ ਬਦਲੀ; ਮੁੜ ਦੇਖੋ।|منصوبہ بدل گیا؛ جائزہ لیں۔|পৰিকল্পনা সলনি; পৰীক্ষা কৰক।|ଯୋଜନା ବଦଳିଛି; ଯାଞ୍ଚ କରନ୍ତୁ।
previous|पहले पिछला चरण पूरा करें।|ಮೊದಲು ಹಿಂದಿನ ಹಂತ ಪೂರ್ಣಗೊಳಿಸಿ.|முந்தைய படியை முடிக்கவும்.|ముందు గత దశ పూర్తి చేయండి.|മുൻ ഘട്ടം പൂർത്തിയാക്കുക.|आधी मागील टप्पा पूर्ण करा.|আগের ধাপ শেষ করুন।|પહેલાં અગાઉનું પગલું પૂર્ણ કરો.|ਪਹਿਲਾਂ ਪਿਛਲਾ ਕਦਮ ਪੂਰਾ ਕਰੋ।|پہلے پچھلا مرحلہ مکمل کریں۔|আগৰ ধাপ সম্পূৰ্ণ কৰক।|ପ୍ରଥମେ ପୂର୍ବ ପଦକ୍ଷେପ ସମ୍ପୂର୍ଣ୍ଣ କରନ୍ତୁ।
saved|बदलाव सहेजे गए|ಬದಲಾವಣೆ ಉಳಿಸಲಾಗಿದೆ|மாற்றங்கள் சேமிக்கப்பட்டன|మార్పులు భద్రపరచబడ్డాయి|മാറ്റങ്ങൾ സംരക്ഷിച്ചു|बदल जतन केले|পরিবর্তন সংরক্ষিত|ફેરફારો સાચવ્યા|ਤਬਦੀਲੀਆਂ ਸੁਰੱਖਿਅਤ|تبدیلیاں محفوظ|পৰিৱৰ্তন সংৰক্ষিত|ପରିବର୍ତ୍ତନ ସଞ୍ଚିତ
ux_onboarding_title|अपनी पसंदीदा भाषा चुनें|ನಿಮ್ಮ ಆದ್ಯತೆಯ ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ|உங்களுக்கு விருப்பமான மொழியைத் தேர்ந்தெடுக்கவும்|మీకు ఇష్టమైన భాషను ఎంచుకోండి|നിങ്ങൾക്ക് ഇഷ്ടമുള്ള ഭാഷ തിരഞ്ഞെടുക്കുക|तुमची पसंतीची भाषा निवडा|আপনার পছন্দের ভাষা বেছে নিন|તમારી પસંદગીની ભાષા પસંદ કરો|ਆਪਣੀ ਪਸੰਦ ਦੀ ਭਾਸ਼ਾ ਚੁਣੋ|اپنی پسندیدہ زبان منتخب کریں|আপোনাৰ পছন্দৰ ভাষা বাছনি কৰক|ଆପଣଙ୍କ ପସନ୍ଦର ଭାଷା ବାଛନ୍ତୁ
ux_onboarding_hint|आप इसे ऊपर से कभी भी बदल सकते हैं।|ಮೇಲಿನ ಆಯ್ಕೆಯಿಂದ ಯಾವಾಗ ಬೇಕಾದರೂ ಬದಲಿಸಬಹುದು.|மேலுள்ள தேர்விலிருந்து எப்போது வேண்டுமானாலும் மாற்றலாம்.|పైన ఉన్న ఎంపికతో ఎప్పుడైనా మార్చవచ్చు.|മുകളിലെ തിരഞ്ഞെടുപ്പിലൂടെ എപ്പോൾ വേണമെങ്കിലും മാറ്റാം.|वरच्या पर्यायातून कधीही बदलू शकता.|উপরের বিকল্প থেকে যেকোনো সময় বদলাতে পারেন।|ઉપરના વિકલ્પથી ગમે ત્યારે બદલી શકો છો.|ਉੱਪਰਲੇ ਵਿਕਲਪ ਤੋਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਬਦਲ ਸਕਦੇ ਹੋ।|آپ اوپر موجود اختیار سے کسی بھی وقت اسے بدل سکتے ہیں۔|ওপৰৰ বিকল্পৰ পৰা যিকোনো সময়তে সলনি কৰিব পাৰে।|ଉପର ବିକଳ୍ପରୁ ଯେକୌଣସି ସମୟରେ ବଦଳାଇ ପାରିବେ।
ux_actions_continue|जारी रखें|ಮುಂದುವರಿಸಿ|தொடரவும்|కొనసాగించండి|തുടരുക|पुढे जा|এগিয়ে যান|આગળ વધો|ਅੱਗੇ ਵਧੋ|جاری رکھیں|আগবাঢ়ক|ଆଗକୁ ବଢ଼ନ୍ତୁ
ux_story_report|रिपोर्ट|ವರದಿ|அறிக்கை|నివేదిక|റിപ്പോർട്ട്|अहवाल|রিপোর্ট|અહેવાલ|ਰਿਪੋਰਟ|رپورٹ|প্ৰতিবেদন|ରିପୋର୍ଟ
ux_story_details|विवरण|ವಿವರಗಳು|விவரங்கள்|వివరాలు|വിശദാംശങ്ങൾ|तपशील|বিবরণ|વિગતો|ਵੇਰਵੇ|تفصیلات|বিৱৰণ|ବିବରଣୀ
ux_story_recommendation|योजना|ಯೋಜನೆ|திட்டம்|ప్రణాళిక|പദ്ധതി|योजना|পরিকল্পনা|યોજના|ਯੋਜਨਾ|منصوبہ|পৰিকল্পনা|ଯୋଜନା
ux_story_decision|निर्णय|ನಿರ್ಧಾರ|முடிவு|నిర్ణయం|തീരുമാനം|निर्णय|সিদ্ধান্ত|નિર્ણય|ਫੈਸਲਾ|فیصلہ|সিদ্ধান্ত|ନିଷ୍ପତ୍ତି
ux_story_activity|गतिविधि|ಚಟುವಟಿಕೆ|செயல்பாடு|కార్యాచరణ|പ്രവർത്തനം|हालचाल|কার্যকলাপ|પ્રવૃત્તિ|ਸਰਗਰਮੀ|سرگرمی|কাৰ্যকলাপ|କାର୍ଯ୍ୟକଳାପ
ux_story_navigation|घटना के चरण|ಘಟನೆಯ ಹಂತಗಳು|சம்பவ நிலைகள்|సంఘటన దశలు|സംഭവ ഘട്ടങ്ങൾ|घटनेचे टप्पे|ঘটনার ধাপ|ઘટનાના તબક્કા|ਘਟਨਾ ਦੇ ਪੜਾਅ|واقعے کے مراحل|ঘটনাৰ পৰ্যায়|ଘଟଣାର ପର୍ଯ୍ୟାୟ
ux_next_label|अगला कदम|ಮುಂದಿನ ಕ್ರಮ|அடுத்த நடவடிக்கை|తదుపరి చర్య|അടുത്ത നടപടി|पुढील कृती|পরবর্তী পদক্ষেপ|આગળનું પગલું|ਅਗਲੀ ਕਾਰਵਾਈ|اگلا قدم|পৰৱৰ্তী পদক্ষেপ|ପରବର୍ତ୍ତୀ ପଦକ୍ଷେପ
ux_next_review|घटना की समीक्षा करें|ಘಟನೆಯನ್ನು ಪರಿಶೀಲಿಸಿ|சம்பவத்தை ஆய்வு செய்யவும்|సంఘటనను సమీక్షించండి|സംഭവം പരിശോധിക്കുക|घटनेचा आढावा घ्या|ঘটনাটি পর্যালোচনা করুন|ઘટનાની સમીક્ષા કરો|ਘਟਨਾ ਦੀ ਸਮੀਖਿਆ ਕਰੋ|واقعے کا جائزہ لیں|ঘটনাটো পৰ্যালোচনা কৰক|ଘଟଣାର ସମୀକ୍ଷା କରନ୍ତୁ
ux_next_monitor|प्रतिक्रिया पर नज़र रखें|ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಿ|மீட்பு நடவடிக்கையைக் கண்காணிக்கவும்|స్పందనను పర్యవేక్షించండి|പ്രതികരണം നിരീക്ഷിക്കുക|प्रतिसादावर लक्ष ठेवा|সাড়াদান পর্যবেক্ষণ করুন|પ્રતિસાદ પર નજર રાખો|ਕਾਰਵਾਈ ਦੀ ਨਿਗਰਾਨੀ ਕਰੋ|امدادی کارروائی کی نگرانی کریں|সঁহাৰি নিৰীক্ষণ কৰক|ପ୍ରତିକ୍ରିୟା ନିରୀକ୍ଷଣ କରନ୍ତୁ
ux_next_disruption|मार्ग की बाधा की समीक्षा करें|ಮಾರ್ಗದ ಅಡಚಣೆಯನ್ನು ಪರಿಶೀಲಿಸಿ|பாதைத் தடையை ஆய்வு செய்யவும்|మార్గ అడ్డంకిని సమీక్షించండి|വഴിയിലെ തടസ്സം പരിശോധിക്കുക|मार्गातील अडथळ्याचा आढावा घ्या|পথের বাধা পর্যালোচনা করুন|માર્ગના અવરોધની સમીક્ષા કરો|ਰਸਤੇ ਦੀ ਰੁਕਾਵਟ ਦੀ ਸਮੀਖਿਆ ਕਰੋ|راستے کی رکاوٹ کا جائزہ لیں|পথৰ বাধা পৰ্যালোচনা কৰক|ରାସ୍ତା ବାଧାର ସମୀକ୍ଷା କରନ୍ତୁ
ux_next_replan|नई योजना की प्रतीक्षा करें|ನವೀಕೃತ ಯೋಜನೆಗಾಗಿ ಕಾಯಿರಿ|புதிய திட்டத்திற்குக் காத்திருக்கவும்|నవీకరించిన ప్రణాళిక కోసం వేచి ఉండండి|പുതുക്കിയ പദ്ധതിക്കായി കാത്തിരിക്കുക|नवीन योजनेची प्रतीक्षा करा|নতুন পরিকল্পনার জন্য অপেক্ষা করুন|નવી યોજનાની રાહ જુઓ|ਨਵੀਂ ਯੋਜਨਾ ਦੀ ਉਡੀਕ ਕਰੋ|نئے منصوبے کا انتظار کریں|নতুন পৰিকল্পনাৰ বাবে অপেক্ষা কৰক|ନୂଆ ଯୋଜନାକୁ ଅପେକ୍ଷା କରନ୍ତୁ
ux_next_resolved|आगे कोई कार्रवाई आवश्यक नहीं|ಮುಂದಿನ ಕ್ರಮ ಅಗತ್ಯವಿಲ್ಲ|மேலும் நடவடிக்கை தேவையில்லை|తదుపరి చర్య అవసరం లేదు|കൂടുതൽ നടപടി ആവശ്യമില്ല|पुढील कृती आवश्यक नाही|আর কোনো পদক্ষেপ প্রয়োজন নেই|વધુ પગલાં જરૂરી નથી|ਹੋਰ ਕਾਰਵਾਈ ਦੀ ਲੋੜ ਨਹੀਂ|مزید کارروائی درکار نہیں|আৰু পদক্ষেপৰ প্ৰয়োজন নাই|ଆଉ ପଦକ୍ଷେପ ଆବଶ୍ୟକ ନାହିଁ
ux_next_rejected|योजना अस्वीकृत — घटना की समीक्षा करें|ಯೋಜನೆ ತಿರಸ್ಕೃತ — ಘಟನೆಯನ್ನು ಪರಿಶೀಲಿಸಿ|திட்டம் நிராகரிக்கப்பட்டது — சம்பவத்தை ஆய்வு செய்யவும்|ప్రణాళిక తిరస్కరించబడింది — సంఘటనను సమీక్షించండి|പദ്ധതി നിരസിച്ചു — സംഭവം പരിശോധിക്കുക|योजना नाकारली — घटनेचा आढावा घ्या|পরিকল্পনা প্রত্যাখ্যাত — ঘটনা পর্যালোচনা করুন|યોજના નકારાઈ — ઘટનાની સમીક્ષા કરો|ਯੋਜਨਾ ਰੱਦ — ਘਟਨਾ ਦੀ ਸਮੀਖਿਆ ਕਰੋ|منصوبہ مسترد — واقعے کا جائزہ لیں|পৰিকল্পনা নাকচ — ঘটনা পৰ্যালোচনা কৰক|ଯୋଜନା ପ୍ରତ୍ୟାଖ୍ୟାନ — ଘଟଣାର ସମୀକ୍ଷା କରନ୍ତୁ
ux_next_recommendation|सिफारिश की समीक्षा करें|ಶಿಫಾರಸನ್ನು ಪರಿಶೀಲಿಸಿ|பரிந்துரையை ஆய்வு செய்யவும்|సిఫార్సును సమీక్షించండి|ശുപാർശ പരിശോധിക്കുക|शिफारशीचा आढावा घ्या|সুপারিশ পর্যালোচনা করুন|ભલામણની સમીક્ષા કરો|ਸਿਫ਼ਾਰਸ਼ ਦੀ ਸਮੀਖਿਆ ਕਰੋ|تجویز کا جائزہ لیں|পৰামৰ্শ পৰ্যালোচনা কৰক|ସୁପାରିଶର ସମୀକ୍ଷା କରନ୍ତୁ
ux_decision_released|मुक्त|ಬಿಡುಗಡೆ|விடுவிக்கப்பட்டது|విడుదల|വിടുവിച്ചു|मुक्त|মুক্ত|મુક્ત|ਮੁਕਤ|فارغ|মুক্ত|ମୁକ୍ତ
ux_decision_responders|वर्तमान प्रतिक्रिया दल|ಪ್ರಸ್ತುತ ಪ್ರತಿಕ್ರಿಯೆ ತಂಡ|தற்போதைய மீட்புக் குழு|ప్రస్తుత స్పందన బృందం|നിലവിലെ പ്രതികരണ സംഘം|सध्याचे प्रतिसाद पथक|বর্তমান সাড়াদানকারী দল|વર્તમાન પ્રતિસાદ ટીમ|ਮੌਜੂਦਾ ਸਹਾਇਤਾ ਟੀਮ|موجودہ امدادی ٹیم|বৰ্তমান সঁহাৰি দল|ବର୍ତ୍ତମାନର ସହାୟତା ଦଳ
ux_route_previous|पिछली योजना|ಹಿಂದಿನ ಯೋಜನೆ|முந்தைய திட்டம்|మునుపటి ప్రణాళిక|മുൻ പദ്ധതി|मागील योजना|আগের পরিকল্পনা|અગાઉની યોજના|ਪਿਛਲੀ ਯੋਜਨਾ|پچھلا منصوبہ|পূৰ্বৰ পৰিকল্পনা|ପୂର୍ବ ଯୋଜନା
ux_route_updated|नई योजना|ನವೀಕೃತ ಯೋಜನೆ|புதிய திட்டம்|నవీకరించిన ప్రణాళిక|പുതുക്കിയ പദ്ധതി|नवीन योजना|নতুন পরিকল্পনা|નવી યોજના|ਨਵੀਂ ਯੋਜਨਾ|نیا منصوبہ|নতুন পৰিকল্পনা|ନୂଆ ଯୋଜନା
ux_activity_new|नया|ಹೊಸದು|புதியது|కొత్తది|പുതിയത്|नवीन|নতুন|નવું|ਨਵਾਂ|نیا|নতুন|ନୂଆ
ux_demo_presentation|प्रस्तुति मोड|ಪ್ರಸ್ತುತಿ ಮೋಡ್|செயல்விளக்க முறை|ప్రదర్శన మోడ్|അവതരണ മോഡ്|सादरीकरण मोड|প্রদর্শন মোড|પ્રસ્તુતિ મોડ|ਪੇਸ਼ਕਾਰੀ ਮੋਡ|پیشکش کا موڈ|প্ৰদৰ্শন মোড|ଉପସ୍ଥାପନ ମୋଡ୍
ux_map_zoomIn|ज़ूम इन|ಹಿಗ್ಗಿಸಿ|பெரிதாக்கு|పెద్దది చేయి|വലുതാക്കുക|मोठे करा|বড় করুন|મોટું કરો|ਵੱਡਾ ਕਰੋ|بڑا کریں|ডাঙৰ কৰক|ବଡ଼ କରନ୍ତୁ
ux_map_zoomOut|ज़ूम आउट|ಕುಗ್ಗಿಸಿ|சிறிதாக்கு|చిన్నది చేయి|ചെറുതാക്കുക|लहान करा|ছোট করুন|નાનું કરો|ਛੋਟਾ ਕਰੋ|چھوٹا کریں|সৰু কৰক|ଛୋଟ କରନ୍ତୁ
decision.replacementApproved|प्रतिस्थापन स्वीकृत|ಬದಲಿ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಗಿದೆ|மாற்றுத் திட்டம் அங்கீகரிக்கப்பட்டது|ప్రత్యామ్నాయ ప్రణాళిక ఆమోదించబడింది|പകരം പദ്ധതി അംഗീകരിച്ചു|पर्यायी योजना मंजूर|বিকল্প পরিকল্পনা অনুমোদিত|વૈકલ્પિક યોજના મંજૂર|ਬਦਲਵੀਂ ਯੋਜਨਾ ਮਨਜ਼ੂਰ|متبادل منصوبہ منظور ہو گیا|বিকল্প পৰিকল্পনা অনুমোদিত|ବିକଳ୍ପ ଯୋଜନା ଅନୁମୋଦିତ
